# CPU vs GPU training scaling for the Chapter 12 quadrant MLP (2 -> 30 -> 1,
# ReLU + sigmoid), one epoch = one full pass over 100000 samples.
# Generated by figures/scripts/bench_nn_batch_scaling.jl; see its header for
# what is inside the clock. Minimum over >= 3 timed epochs.
# device=NVIDIA GeForce RTX 4070 SUPER
# cpu=13th Gen Intel(R) Core(TM) i5-13600K (20 logical cores)
# blas=libopenblas64_.so
# blas_threads=1
# julia_threads=1
# julia=1.12.6
# cuda_jl=6.2.1
# cuda_runtime=12.9.0
# cuda_driver=13.3.0
# crossover_batch=1664
# batch  cpu_s_per_epoch  gpu_s_per_epoch  cpu_samples_per_s  gpu_samples_per_s
    32     3.001253e-02     4.861274e-01         3.3319e+06         2.0571e+05
    64     1.940220e-02     2.419115e-01         5.1541e+06         4.1337e+05
   128     1.517757e-02     1.219751e-01         6.5887e+06         8.1984e+05
   256     1.291061e-02     6.017428e-02         7.7456e+06         1.6618e+06
   512     1.179134e-02     3.029278e-02         8.4808e+06         3.3011e+06
  1024     1.102489e-02     1.689223e-02         9.0704e+06         5.9199e+06
  2048     1.070594e-02     8.920941e-03         9.3406e+06         1.1210e+07
  4096     1.063930e-02     4.456597e-03         9.3991e+06         2.2439e+07
  8192     1.062246e-02     2.542287e-03         9.4140e+06         3.9335e+07
 16384     1.076412e-02     1.542235e-03         9.2901e+06         6.4841e+07
